env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,err_key
webmall.Webmall_Best_Fit_Specific_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,24,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task2_15,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,15,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task2_15,True,,,23,10,20,12652ff4-bda8-4cda-83b1-6604f3e961d0,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,25,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task3_14,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,14,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task3_14,True,,,24,10,20,3037c9ab-47d2-42c6-9b73-f4fa773133a0,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,26,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task4_2,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,2,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task4_2,True,,,25,10,20,58eadf8c-0f9c-47b1-b3a2-30ebbba31d83,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,27,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task5_6,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task5_6,True,,,26,10,20,3a330c68-c302-4f51-89ac-d07e32d888b4,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,28,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task6_20,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,20,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task6_20,True,,,27,10,20,ed7a5ad4-f5a9-4f56-ae52-744944387c2d,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,29,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task7_8,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task7_8,True,,,28,10,20,d46b3625-1285-4f3b-8062-590fa06be569,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task8,GenericAgent-gpt-4.1-2025-04-14,webmall,30,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task8_17,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,17,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task8_17,True,,,29,10,20,7c408493-c3dd-4295-8d4b-f70c1c63ba79,(),True,False,
webmall.Webmall_Best_Fit_Specific_Task9,GenericAgent-gpt-4.1-2025-04-14,webmall,31,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task9_3,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,3,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task9_3,True,,,30,10,20,28027db6-dedf-4290-8a3f-6cc31bdb0b3c,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,0,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-36_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task1_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task1_1,True,,,12,10,20,5c849d30-be1d-4905-ae5e-225def139866,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task10,GenericAgent-gpt-4.1-2025-04-14,webmall,32,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task10_26,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,26,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task10_26,True,,,21,10,20,273b8a59-c803-4693-8493-8afe064dc6e3,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,1,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-36_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task2_23,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,23,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task2_23,True,,,13,10,20,d51ed58c-09a5-4312-a741-eb515f47cc4a,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,33,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task3_29,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,29,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task3_29,True,,,14,10,20,22c22bc1-cba0-44b6-afcf-7e08ee8d6c07,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,34,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task4_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task4_1,True,,,15,10,20,49d709d4-5113-4396-8fee-a93a25e3908d,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,35,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task5_20,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,20,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task5_20,True,,,16,10,20,bb9af534-69d8-4a8b-a8a9-c85984d624ac,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,36,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task6_32,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,32,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task6_32,True,,,17,10,20,bc85c62f-812f-45bb-9657-e65ec5c87cb3,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,37,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task7_11,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,11,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task7_11,True,,,18,10,20,ef00a120-08cc-4dae-9c0d-9896d9c7411d,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task8,GenericAgent-gpt-4.1-2025-04-14,webmall,38,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task8_21,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,21,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task8_21,True,,,19,10,20,c8d7a878-798f-4976-8433-012e1e83cfc2,(),True,False,
webmall.Webmall_Cheapest_Product_Search_Task9,GenericAgent-gpt-4.1-2025-04-14,webmall,39,/mnt/c/Avani/Thesis_Webmall/WebMall/result_files/2025-07-15_17-41-30_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-07-15_17-41-37_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task9_24,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Product_Search_Task9_24,True,,,20,10,20,a021c1f2-fdec-45f8-a5eb-9e95f81886aa,(),True,False,
